time,dewpoint,altitude,UV,lux
337,10.4,1224.0,0.001,140.0
337,10.4,1220.2,0.001,149.0
338,10.3,1219.6,0.003,152.0
339,10.2,1219.8,-0.000,66.0
339,10.2,1219.3,-0.000,153.0
340,10.1,1218.0,0.005,141.0
341,10.1,1216.5,0.005,143.0
342,10.1,1215.3,-0.000,135.0
342,10.0,1213.1,-0.000,134.0
343,9.9,1211.6,0.005,145.0
344,9.9,1209.5,0.004,131.0
345,10.0,1206.4,0.005,136.0
345,10.0,1204.0,-0.001,127.0
346,10.0,1200.1,0.003,133.0
347,10.0,1196.6,0.003,120.0
348,9.8,1194.9,-0.002,107.0
348,9.7,1193.5,0.003,115.0
349,9.7,1192.0,0.002,110.0
350,9.7,1189.2,0.002,110.0
351,9.7,1186.6,0.002,116.0
351,9.7,1182.5,0.001,99.0
352,9.7,1178.5,0.000,105.0
353,9.7,1176.0,0.000,94.0
354,9.8,1169.8,0.000,71.0
354,9.8,1166.4,0.000,88.0
355,9.8,1164.7,0.000,79.0
356,9.9,1156.6,0.000,35.0
356,9.9,1153.0,0.000,34.0
357,9.9,1151.4,0.000,35.0
358,10.0,1151.3,0.000,41.0
359,10.0,1151.7,0.000,72.0
359,9.9,1153.2,0.000,92.0
360,10.0,1152.8,0.000,98.0
361,9.9,1154.8,0.000,98.0
362,9.9,1155.0,0.001,92.0
362,9.9,1154.8,0.000,118.0
363,9.9,1154.3,0.001,71.0
364,9.8,1153.1,0.000,103.0
365,9.8,1150.9,0.000,107.0
365,9.8,1148.4,0.000,111.0
366,9.8,1146.5,0.000,106.0
367,9.8,1144.5,0.000,108.0
368,9.7,1143.9,0.000,72.0
368,9.7,1144.0,0.000,88.0
369,9.7,1141.9,0.000,73.0
370,9.6,1140.8,0.000,36.0
371,9.6,1138.8,0.000,38.0
371,9.6,1137.0,0.000,34.0
372,9.6,1132.6,0.000,32.0
373,9.5,1128.8,0.000,25.0
373,9.5,1127.5,0.000,18.0
374,9.5,1124.4,0.000,31.0
375,9.4,1123.9,0.000,41.0
376,9.3,1123.2,0.000,48.0
376,9.2,1122.8,0.000,56.0
377,9.2,1122.6,0.000,60.0
378,9.1,1121.3,0.000,86.0
379,9.1,1120.4,0.001,89.0
379,9.0,1118.8,0.001,94.0
380,9.0,1116.8,0.001,124.0
381,9.0,1114.1,0.002,112.0
382,9.0,1111.7,0.001,138.0
382,8.9,1109.1,0.003,113.0
383,8.9,1107.3,0.004,132.0
384,8.8,1105.8,0.003,193.0
385,8.7,1102.8,0.003,108.0
385,8.7,1100.2,0.002,116.0
386,8.7,1097.2,0.002,106.0
387,8.6,1094.5,0.002,111.0
388,8.5,1092.8,0.003,125.0
388,8.4,1090.6,0.003,109.0
389,8.4,1086.9,0.004,124.0
390,8.4,1083.0,0.003,115.0
390,8.5,1079.5,0.003,113.0
391,8.5,1076.3,0.003,124.0
392,8.4,1074.2,0.005,115.0
393,8.4,1071.8,0.005,129.0
393,8.3,1069.1,0.004,133.0
394,8.3,1066.5,0.005,198.0
395,8.3,1063.7,0.005,166.0
396,8.3,1060.7,0.003,136.0
396,8.4,1057.7,0.002,156.0
397,8.4,1053.8,0.001,111.0
398,8.4,1051.2,0.001,101.0
399,8.4,1049.3,0.002,109.0
399,8.4,1046.5,0.002,98.0
400,8.3,1045.5,0.003,117.0
401,8.3,1042.7,0.002,106.0
402,8.3,1040.7,0.002,104.0
402,8.3,1038.9,0.003,107.0
403,8.2,1036.4,0.002,119.0
404,8.2,1034.2,0.000,98.0
404,8.3,1031.7,0.000,88.0
405,8.2,1030.0,0.001,83.0
406,8.3,1026.6,0.000,100.0
407,8.3,1025.1,0.000,97.0
407,8.2,1023.8,0.000,72.0
408,8.2,1021.7,0.000,69.0
409,8.3,1020.5,0.000,41.0
410,8.3,1018.9,0.000,31.0
410,8.3,1017.1,0.000,21.0
411,8.3,1015.9,0.000,19.0
412,8.4,1013.2,0.000,21.0
413,8.4,1012.2,0.000,18.0
413,8.4,1010.6,0.000,25.0
414,8.4,1009.8,0.000,23.0
415,8.4,1009.1,0.000,18.0
416,8.5,1007.6,0.000,19.0
416,8.6,1006.4,0.000,23.0
417,8.6,1005.5,0.000,25.0
418,8.6,1006.7,0.000,23.0
419,8.6,1006.8,0.000,19.0
419,8.6,1007.6,0.000,15.0
420,8.6,1008.7,0.000,22.0
421,8.6,1009.1,0.000,36.0
421,8.6,1009.2,0.000,37.0
422,8.6,1009.6,0.000,48.0
423,8.6,1009.0,0.000,54.0
424,8.6,1009.2,0.000,55.0
424,8.5,1009.2,0.000,61.0
425,8.5,1009.0,0.000,56.0
426,8.5,1007.7,0.000,72.0
427,8.5,1007.0,0.000,83.0
427,8.5,1006.3,0.000,87.0
428,8.5,1005.1,0.000,105.0
429,8.5,1004.0,0.001,71.0
430,8.5,1003.2,0.000,81.0
430,8.5,1002.5,0.000,70.0
431,8.5,1002.1,0.000,54.0
432,8.5,1001.5,0.000,53.0
433,8.5,1000.8,0.000,40.0
433,8.5,1000.6,0.000,36.0
434,8.5,999.4,0.000,36.0
435,8.5,998.9,0.000,31.0
436,8.5,998.1,0.000,33.0
436,8.5,997.0,0.000,44.0
437,8.4,996.6,0.000,49.0
438,8.4,995.8,0.000,58.0
438,8.4,994.9,0.000,61.0
439,8.3,994.3,0.000,70.0
440,8.3,993.0,0.000,72.0
441,8.3,991.4,0.001,82.0
441,8.3,990.3,0.000,79.0
442,8.3,988.8,0.001,79.0
443,8.3,988.0,0.000,79.0
444,8.3,986.7,0.000,68.0
444,8.3,986.0,0.000,69.0
445,8.3,984.7,0.000,64.0
446,8.3,983.6,0.000,45.0
447,8.4,982.5,0.000,29.0
447,8.4,982.2,0.000,33.0
448,8.4,981.5,0.000,58.0
449,8.4,981.8,0.000,67.0
450,8.4,980.5,0.000,70.0
450,8.4,979.4,0.001,84.0
451,8.4,979.7,0.001,77.0
452,8.4,978.9,0.001,82.0
453,8.4,978.2,0.001,82.0
453,8.4,977.8,0.001,77.0
454,8.4,977.7,0.001,81.0
455,8.4,977.4,0.000,71.0
455,8.4,977.1,0.000,80.0
456,8.4,976.4,0.000,73.0
457,8.3,976.4,0.001,66.0
458,8.3,975.7,0.000,71.0
458,8.3,975.1,0.000,62.0
459,8.3,974.1,0.000,68.0
460,8.3,972.8,0.000,63.0
461,8.3,971.1,0.000,64.0
461,8.3,969.5,0.000,67.0
462,8.4,969.2,0.000,58.0
463,8.4,967.8,0.000,51.0
464,8.4,966.7,0.000,37.0
464,8.4,966.6,0.000,36.0
465,8.4,966.2,0.000,45.0
466,8.4,965.4,0.000,31.0
467,8.4,965.3,0.000,36.0
467,8.4,965.0,0.000,52.0
468,8.4,964.9,0.000,49.0
469,8.3,964.0,0.000,35.0
469,8.3,963.7,0.000,46.0
